00:10:18.635 [mini-cluster-io-thread-1] INFO  o.a.f.r.h.n.e.EmbeddedLeaderService - Received confirmation of leadership for leader http://localhost:51475 , session=c0cd51e9-d7a5-43ce-bd5a-3ccc1e9058d8
00:10:18.647 [main] INFO  o.a.f.r.rpc.akka.AkkaRpcService - Starting RPC endpoint for org.apache.flink.runtime.resourcemanager.StandaloneResourceManager at akka://flink/user/rpc/resourcemanager_1 .
00:10:18.663 [main] INFO  o.a.f.r.h.n.e.EmbeddedLeaderService - Proposing leadership to contender LeaderContender: DefaultDispatcherRunner
00:10:18.664 [flink-akka.actor.default-dispatcher-2] INFO  o.a.f.r.h.n.e.EmbeddedLeaderService - Proposing leadership to contender LeaderContender: StandaloneResourceManager
00:10:18.665 [flink-akka.actor.default-dispatcher-2] INFO  o.a.f.r.r.StandaloneResourceManager - ResourceManager akka://flink/user/rpc/resourcemanager_1 was granted leadership with fencing token 929dcbbfa306c227dc8f38a097a447d7
00:10:18.667 [main] INFO  o.a.f.r.minicluster.MiniCluster - Flink Mini Cluster started successfully
00:10:18.668 [flink-akka.actor.default-dispatcher-2] INFO  o.a.f.r.r.s.SlotManagerImpl - Starting the SlotManager.
00:10:18.669 [mini-cluster-io-thread-2] INFO  o.a.f.r.d.r.SessionDispatcherLeaderProcess - Start SessionDispatcherLeaderProcess.
00:10:18.670 [mini-cluster-io-thread-5] INFO  o.a.f.r.d.r.SessionDispatcherLeaderProcess - Recover all persisted job graphs.
00:10:18.670 [mini-cluster-io-thread-5] INFO  o.a.f.r.d.r.SessionDispatcherLeaderProcess - Successfully recovered 0 persisted job graphs.
00:10:18.672 [mini-cluster-io-thread-6] INFO  o.a.f.r.h.n.e.EmbeddedLeaderService - Received confirmation of leadership for leader akka://flink/user/rpc/resourcemanager_1 , session=dc8f38a0-97a4-47d7-929d-cbbfa306c227
00:10:18.674 [flink-akka.actor.default-dispatcher-2] INFO  o.a.f.r.taskexecutor.TaskExecutor - Connecting to ResourceManager akka://flink/user/rpc/resourcemanager_1(929dcbbfa306c227dc8f38a097a447d7).
